generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
4,9,fast,-13018.866765,29538.666667,21617.140442,1493.000000,2048.000000,0.333333,0.333333,0.000000,200000,374.536486336,820.774225981,43.0569738978,8.14653024627
4,10,fast,-13085.085016,29341.333333,15061.386331,1480.666667,2048.000000,0.333333,0.333333,0.000000,200000,200,604.762625686,74.868816186,9.10238488142
4,11,fast,-16823.038104,26506.666667,10225.707387,1415.000000,1706.666667,0.666667,0.000000,0.000000,200000,285.806753634,759.968820843,48.269088818,8.52491183152
4,12,fast,-21374.400448,21985.333333,11727.157920,1208.000000,1365.333333,0.333333,0.000000,0.000000,200000,383.138039474,820.774225981,43.0569738978,7.35990292888
4,13,fast,-23692.891103,19581.333333,7451.690696,1100.666667,1365.333333,0.333333,0.000000,0.000000,200000,287.477686823,857.444916955,51.1241444633,8.52481002783
5,1,full,22670.713904,71573.000000,43812.283563,3253.500000,4160.000000,0.875000,0.625000,0.250000,200000,347.793109255,820.774225981,43.0569738978,8.14653024627
5,2,full,8651.405815,58736.000000,34177.687985,2720.750000,3456.000000,0.875000,0.500000,0.125000,200000,292.886397912,893.824507214,51.7341723094,9.22001511379
5,3,validation,6756.126357,64051.600000,36036.626943,2925.000000,3916.800000,0.900000,0.600000,0.200000,200000,347.793109255,820.774225981,43.0569738978,8.14653024627
5,4,full,4101.225428,54501.500000,18711.707345,2595.125000,3200.000000,0.875000,0.625000,0.000000,200000,351.774874789,628.608065935,42.6817218234,8.40950526737
5,5,full,-1131.042120,49714.500000,22225.084741,2384.375000,2944.000000,0.875000,0.500000,0.000000,200000,373.552148044,833.654460481,51.5861613944,8.19993246718
5,6,fast,-3034.610644,32904.000000,18242.824635,1619.666667,2389.333333,0.666667,0.333333,0.000000,200000,358.74614556,859.289003976,50.3206350551,8.27190915291
5,7,fast,-3034.610644,32904.000000,18242.824635,1619.666667,2389.333333,0.666667,0.333333,0.000000,200000,358.74614556,859.289003976,50.3206350551,8.27190915291
5,8,full,-3903.671628,46383.000000,25531.560136,2192.625000,3136.000000,0.875000,0.375000,0.125000,200000,269.449802692,863.82680183,44.5581031522,8.68750427273
5,9,fast,-4430.789190,31608.000000,23251.751934,1569.666667,2218.666667,0.666667,0.333333,0.000000,200000,369.746745607,808.967902403,49.0490874743,8.16596289336
5,10,fast,-4851.574503,31766.666667,2224.350892,1647.666667,2048.000000,1.000000,0.000000,0.000000,200000,211.880001277,563.461265703,70.3007901009,8.75706343828
5,11,fast,-11118.563265,25665.333333,10507.122325,1376.000000,1706.666667,0.666667,0.000000,0.000000,200000,334.472303862,537.155252266,48.7778341501,9.17927679496
5,12,fast,-13080.130224,23685.333333,9585.470301,1317.666667,1365.333333,0.333333,0.000000,0.000000,200000,313.198904262,877.437080734,78.0403802161,8.64347754135
5,13,fast,-17163.845048,19566.666667,7837.878171,1065.000000,1365.333333,0.333333,0.000000,0.000000,200000,343.999520271,699.789468491,55.2059472766,9.89058289159
