generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
2,3,full,71429.790002,59376.000000,18924.199957,2833.333333,3413.333333,1.000000,0.666667,0.000000,431221.34485,139.219884898,1899.49082738,143.566838971,12.3621788684
2,4,full,67736.956435,55350.666667,12274.204640,2660.333333,3413.333333,1.000000,0.666667,0.000000,244985.737267,377.976723002,1411.76747691,134.74719548,24.3531271197
2,5,full,64163.990036,51658.666667,9893.532613,2491.666667,3413.333333,1.000000,0.666667,0.000000,240102.004018,73.4271653788,1120.15391805,138.767942357,15.7800603788
2,6,full,56428.236929,44397.333333,39381.928083,1990.000000,3413.333333,0.333333,0.333333,0.333333,263743.60223,825.023689142,1432.86287761,129.153695261,26.8621222319
2,7,fast,31632.144857,28722.666667,8477.102859,1521.333333,1706.666667,0.666667,0.000000,0.000000,340817.66881,193.92065709,2000,134.192386094,27.1411775733
2,8,fast,29422.884001,26477.333333,7755.653307,1418.333333,1706.666667,0.666667,0.000000,0.000000,426558.044948,500.758745516,179.869205326,113.124230809,23.3004804576
2,9,fast,29422.884001,26477.333333,7755.653307,1418.333333,1706.666667,0.666667,0.000000,0.000000,426558.044948,500.758745516,179.869205326,113.124230809,23.3004804576
2,10,fast,27997.995943,25005.333333,6813.414481,1320.666667,1706.666667,0.666667,0.000000,0.000000,246593.999269,136.319166434,636.128730569,138.93736729,16.7156120973
2,11,fast,24210.216115,21305.333333,8569.011041,1157.000000,1536.000000,0.666667,0.000000,0.000000,263800.139171,50,790.667204004,124.017246759,24.5278198731
2,12,fast,21353.827340,18630.666667,12203.453209,990.333333,1408.000000,0.666667,0.000000,0.000000,251007.419996,280.887767701,1272.30776118,104.751709681,26.5951004996
2,13,fast,21102.615673,20052.000000,12321.019871,1116.000000,1194.666667,0.333333,0.000000,0.000000,361803.67558,206.65306808,1171.24376062,151.139909843,26.7239656475
2,14,fast,19359.986731,18042.666667,6986.932056,997.333333,1365.333333,0.333333,0.000000,0.000000,425816.657089,387.089177769,932.976154222,126.950213199,17.725538053
2,15,fast,15840.070512,14612.000000,8771.923088,830.666667,1109.333333,0.333333,0.000000,0.000000,449387.312426,736.656920949,2000,117.929006458,34.7878145073
2,16,fast,15313.050978,14137.333333,9818.980440,798.666667,1109.333333,0.333333,0.000000,0.000000,296263.333895,740.148715546,967.931994602,92.9012238027,22.3556368861
3,1,full,106902.170711,83049.333333,29609.919119,3679.000000,5461.333333,1.000000,1.000000,0.333333,235898.728829,479.89445399,739.515508213,130.100117521,20.990668792
3,2,full,90649.579367,73784.000000,2688.412667,3403.333333,4096.000000,1.000000,1.000000,0.000000,471466.622798,306.981653353,1683.60906138,133.024891502,22.6633312526
3,3,full,83739.258282,67050.666667,6228.167699,3134.666667,4096.000000,1.000000,1.000000,0.000000,382331.928469,525.206442951,2000,136.22090407,30.444867401
3,4,full,80563.870611,63846.666667,5655.921106,2950.666667,4096.000000,1.000000,1.000000,0.000000,439530.546992,656.808785454,2000,109.00825806,33.2016289957
3,5,full,74170.223188,62052.000000,17635.536246,2930.333333,3413.333333,1.000000,0.666667,0.000000,190243.020544,343.849942504,1197.29332992,130.373154803,31.625716561
3,6,full,61732.453559,51700.000000,26017.595482,2456.000000,3072.000000,0.666667,0.666667,0.000000,465616.973863,468.908752159,105.288666804,118.630672448,23.5412529083
3,7,fast,42646.983393,36081.333333,15353.665476,1832.333333,2389.333333,0.666667,0.333333,0.000000,426977.861822,123.101105473,2000,147.86829648,29.6792258384
3,8,fast,40470.540788,34112.000000,19495.850909,1729.333333,2218.666667,0.666667,0.333333,0.000000,463573.237281,95.3292315329,1528.8551138,129.646419277,12.3465058638
3,9,fast,35443.407217,30690.666667,4945.188998,1601.666667,2048.000000,1.000000,0.000000,0.000000,435998.810038,620.780367988,1469.80921467,126.595978225,29.3984656313
3,10,fast,32512.162317,27658.666667,16263.420332,1410.000000,2048.000000,0.333333,0.333333,0.000000,436042.649181,445.99445784,1226.66830107,114.279907133,33.8020455379
3,11,fast,31238.413335,28490.666667,11711.733300,1520.666667,1706.666667,0.666667,0.000000,0.000000,437402.324341,589.929483556,1807.94256313,110.103581184,34.8979723141
3,12,fast,28247.320265,25249.333333,6706.928027,1346.666667,1706.666667,0.666667,0.000000,0.000000,439530.546992,656.808785454,1828.43072207,109.00825806,33.2016289957
3,13,fast,27547.145875,24781.333333,11350.415832,1316.000000,1706.666667,0.666667,0.000000,0.000000,217940.559963,769.135495197,2000,108.991874257,26.1002761736
3,14,fast,27168.775692,24292.000000,9131.152830,1313.666667,1706.666667,0.666667,0.000000,0.000000,201856.589803,438.735164677,1444.88168696,143.811432516,29.2907471549
3,15,fast,22678.830537,21202.666667,3810.055934,1202.000000,1365.333333,0.333333,0.000000,0.000000,357845.417742,371.43745353,1330.13188915,126.409492424,26.8871085953
3,16,fast,22114.827828,20738.666667,5810.110116,1171.666667,1365.333333,0.333333,0.000000,0.000000,419772.306161,463.182215838,1058.03985997,123.380298849,29.9068774823
